id|标题|年份|一句话|图片文件名(序号:名)
art_ife|伊费头像艺术|1100|伊费头像艺术把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Faculty_of_Medicine,_Obafemi_Awolowo_University,_Ile-Ife,_Osun_State,_Nigeria_(12998041954).jpg ;; 1:Cabeza_de_rey_(ciudad_yoruba).jpg ;; 2:Yoruba-bronze-head.jpg
art_angkor|吴哥窟浮雕|1113|吴哥窟浮雕把材料、技法与观看方式接在一起，留下超越时代的回声。|0:20171126_Angkor_Wat_4712_DxO.jpg ;; 1:SuryavarmanII01.JPG ;; 2:Henri_Mouhot.jpg
art_gothic_cathedral|哥特式大教堂|1140|哥特式大教堂把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Wells_Cathedral_West_Front_Exterior,_UK_-_Diliff.jpg ;; 1:Sainte_Chapelle_Interior_Stained_Glass.jpg ;; 2:Rouen_(38564194996).jpg
art_stained_glass|彩色玻璃艺术|1150|彩色玻璃艺术把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Oostende_Sint-Petrus-en-Pauluskerk_Rosette.jpg ;; 1:Chartres_RosetteNord_121_DSC08241.jpg ;; 2:The_Stained_Glass_Windows_of_St._Louis_Church_in_Tianjin_1.jpg
eco_templar_finance|圣殿骑士团 · 中世纪跨国金融|1150|一个宗教军事团体,靠各国分部间的信用凭证做起了替人跑腿的银行生意。|0:Templarsign.jpg ;; 1:Templarsign.jpg ;; 2:Jerusalem_Al-Aqsa_Mosque_BW_2010-09-21_06-38-12.JPG
eco_champagne_fairs|香槟集市 · 中世纪贸易节律|1180|法国伯爵的地盘上,商人一年赶六场集市,把整个欧洲的清算周期定了下来。|0:Foire_de_Champagne_XIIIe.jpg ;; 1:Scène_de_foire_-_ca_1400_-_BNF_Fr12559_f167.jpg
art_batik|蜡染艺术|1200|蜡染艺术把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Miao_batik_苗族蜡染,_Guizhou,_2016_(52411217076).jpg ;; 1:20250509_Batik_pleated_skirt_in_the_Sichuan_University_Museum.jpg ;; 2:Indigo-guizhou.jpg
eco_fibonacci_liber_abaci|商用算术 ·《计算之书》|1202|一个比萨商人的儿子用阿拉伯数字包装出做生意的手册,欧洲从此丢了算盘。|0:Liber_abbaci_magliab_f124r.jpg
sci_fibonacci|数学 · 斐波那契数字西传|1202|一个跟父亲在北非做生意的比萨商人之子,把阿拉伯数字硬生生带回了欧洲账本。|0:Fibonacci.jpg ;; 1:Fibonacci.jpg ;; 2:Leonardo_da_Pisa.jpg
sci_aljazari|机械工程 · 加扎利的自动机械|1206|会自动倒水的机器人侍女、能记谱演奏的机械乐队,他画满了一整本图纸。|0:Al-jazari_elephant_clock.png ;; 1:Al-jazari_water_device.jpg
art_benin_bronze|贝宁青铜器|1250|贝宁青铜器把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Benin_brass_plaque_03.jpg
art_persian_miniature|波斯细密画|1250|波斯细密画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Behzad_advice_ascetic.jpg
eco_yuan_chao|交钞 · 蒙元纸币帝国|1260|忽必烈让白银退出流通,强制全国只认一种纸,马可·波罗都为此惊讶。|0:Yuan_dynasty_banknote_with_its_printing_plate_1287.jpg
sci_abacus|计算工具 · 珠算|1274|十个指头拨几下算盘珠,比后来很多计算器都算得快。|0:Abacus_Display_at_the_Computer_History_Museum.jpg
sci_guoshoujing|历法 · 郭守敬《授时历》|1280|他重新测遍全国星象,算出的一年长度和现代公历只差26秒。|0:Guo_Shoujing-beijing.JPG ;; 1:Guo_Shoujing_Observatories.jpg ;; 2:GuoShoujingMemorialHallInXingtai.jpg
eco_great_zimbabwe|大津巴布韦 · 黄金象牙贸易国|1300|内陆高原上一座石头都城,出土的中国瓷片证明黄金贸易能绕开海岸线照样繁荣。|0:Conical_Tower_-_Great_Enclosure_III_(33736918448).jpg ;; 1:Mauch_Ruinen.jpg ;; 2:Exterior_of_great_enclosure,G.Zimbabwe.JPG
eco_mali_gold|马里帝国 · 黄金盐贸易|1324|一位国王朝觐路上撒出的黄金太多,竟拖累了开罗当地十几年的金价。|0:Flag_of_the_Mali_Empire.svg ;; 1:Great_Mosque_of_Djenné_1.jpg ;; 2:Targui8.jpg
pol_mali_governance|马里帝国行政与朝觐|1324|一位国王去麦加撒金子,顺便把国家的存在感撒遍了地中海世界。|0:Flag_of_the_Mali_Empire.svg ;; 1:Great_Mosque_of_Djenné_1.jpg ;; 2:Targui8.jpg
eco_hanseatic_league|汉萨同盟 · 北海波罗的海商圈|1358|没有军队没有国王,几百座商业城市靠共同规则就能左右北欧贸易。|0:Ausbreitung_der_Hanse_um_das_Jahr_1400-Droysens_28.jpg
art_nuo|能剧|1375|能剧把材料、技法与观看方式接在一起，留下超越时代的回声。|0:春日神社ー篠山ー翁奉納P1011774.jpg
eco_medici_bank|美第奇银行 · 佛罗伦萨金融霸权|1397|教会禁止放贷收息,美第奇家族就靠汇兑差价把银行做成半个欧洲的钱庄。|0:Coat_of_arms_of_Medici.svg
art_oil_paint|尼德兰油画|1420|尼德兰油画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_retouched.jpg ;; 1:La_velada,_por_Rafael.jpg ;; 2:Vasnetsov_samolet.jpg
eco_double_entry|复式记账 · 帕乔利《数学大全》|1494|每一笔钱都要同时记两次,借贷相等才算平账,公司财报的语法就此定型。|0:Pacioli.jpg ;; 1:Leonardo_polyhedra.png ;; 2:Divina_proportione.png
sci_vesalius|解剖学 · 维萨里|1543|他亲自解剖尸体后发现,统治医学一千多年的教科书里有两百多处错。|0:Man_dressed_in_Black_by_Calcar_(Hermitage).jpg ;; 1:Vesalius_Fabrica_p190.jpg ;; 2:1543,_Andreas_Vesalius'_Fabrica,_Base_Of_The_Brain.jpg
eco_potosi_silver|白银帝国 · 波托西与价格革命|1545|一座安第斯山里的银矿,把全世界头一次真正接进了同一张价格表。|0:Vista_de_la_Villa_Imperial_de_Potosí.jpg ;; 1:Cerro_Rico_Potosí,Bolivia_-_panoramio_(cropped).jpg ;; 2:Frontis_casademoneda_potosi.JPG
arc_potosi_silver|波托西银路|1545|一座山吃掉数百万矿工性命,喂出欧洲两百年的通货膨胀。|0:Vista_de_la_Villa_Imperial_de_Potosí.jpg ;; 1:Cerro_Rico_Potosí,Bolivia_-_panoramio_(cropped).jpg ;; 2:Frontis_casademoneda_potosi.JPG
eco_mughal_zabt|田赋改革 · 莫卧儿扎布特制|1580|皇帝按土地十年产量的平均数定税额,把庞大帝国的财政做成了统一表格。|0:Govardhan._Akbar_With_Lion_and_Calf_ca._1630,_Metmuseum_(cropped).jpg
pol_akbar_tolerance|莫卧儿 · 阿克巴的宽容治理|1556|皇帝取消对异教徒征税,换来的是几代人的帝国稳定。|0:Govardhan._Akbar_With_Lion_and_Calf_ca._1630,_Metmuseum_(cropped).jpg
sci_tycho|天文观测 · 第谷·布拉赫|1580|望远镜发明之前,他用肉眼积累的观测数据精度已经逼近极限。|0:Porträtt_av_Tycho_Brahe_-_Skoklosters_slott_-_90153.tif
sci_bencao|本草学 · 李时珍《本草纲目》|1596|花了近三十年跋山采药,他把一千八百多种药物重新分了类、纠了错。|0:Siku_quanshu_Bencao_Gangmu.jpg ;; 1:Compendium_of_Materia_Medica.png
art_opera|歌剧诞生|1598|歌剧诞生把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Don_Đovani,_Opera_SNP,_Novi_Sad,_2007-2008,_foto_B._Lučić_2.jpg ;; 1:Milano_-_Teatro_alla_Scala_3924.jpg ;; 2:(Venice)_Portrait_of_Francesco_Andreini_by_Domenico_Fetti_-_Gallerie_Accademia.jpg
art_barock|巴洛克艺术|1600|巴洛克艺术把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Lazio_Roma_SIgnazio_tango7174.jpg ;; 1:AT_119587_Jesuitenkirche_Wien_Innenansicht_9234.jpg ;; 2:Estasi_di_Santa_Teresa.jpg
eco_voc_joint_stock|股份公司 · 荷兰东印度公司|1602|把一次远航的风险拆成可买卖的小份额,股份公司从此比商人更能扛住沉船。|0:VOC.svg ;; 1:De_handelsloge_van_de_VOC_in_Hougly_in_Bengalen_Rijksmuseum_SK-A-4282.jpeg ;; 2:Malacka.jpg
art_kabuki|歌舞伎|1603|歌舞伎把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Odori_Keiyō_Edo-e_no_sakae_by_Toyokuni_III.jpg ;; 1:Okuni_kabuki_byobu-zu_cropped_and_enhanced.jpg ;; 2:阿国歌舞伎発祥地の碑.jpg
eco_amsterdam_exchange|阿姆斯特丹交易所 · 做空雏形|1609|有人抢先卖出自己还没买到的股票,交易所诞生第一年就学会了做空。|0:Effbeurs1.jpg ;; 1:Effbeurs1.jpg
sci_kepler|天体力学 · 开普勒行星运动定律|1609|行星走的根本不是正圆,他用第谷留下的数据硬算出了椭圆轨道。|0:JKepler.jpg ;; 1:WMAP_2012.png ;; 2:Kepler-Geburtshaus.jpg
sci_harvey|生理学 · 哈维发现血液循环|1628|血液不是被身体不断吃掉重造,而是绕着圈子一直循环流动。|0:William_Harvey_2.jpg ;; 1:William_Harvey_(1578-1657)_Venenbild.jpg ;; 2:Stamp_of_USSR_2004.jpg
eco_tulip_mania|郁金香泡沫 · 期货炒作|1637|一颗还埋在土里的球茎,靠一纸期货合同就能被反复转手炒到房价的价钱。|0:Pamphlet_dutch_tulipomania_1637.jpg
sci_tiangong_kaiwu|技术图册 · 《天工开物》|1637|从种田到炼铁到织布,一本书把整个帝国的生产技术都画成了图解。|0:Chinese_Fining_and_Blast_Furnace.jpg
sci_pascal_probability|数学 · 帕斯卡与概率论|1654|一个赌徒提的分赌金难题,被两位数学家写成了整套概率论。|0:Blaise_Pascal_Versailles.JPG ;; 1:Arts_et_Metiers_Pascaline_dsc03869.jpg
sci_boyle|化学 · 波义耳与气体定律|1662|他把化学从炼金术士的秘方堆里拽出来,逼它像数学一样讲证据。|0:The_Shannon_Portrait_of_the_Hon_Robert_Boyle.jpg ;; 1:Young_Robert_Boyle_on_monument_St._Patricks.jpg
eco_mercantilism|重商主义 · 国家贸易保护政策|1664|一个国家的财富被算成金银库存的多少,出口被鼓励、进口被处处设卡。|0:Canal,_Giovanni_Antonio_(Canaletto)_-_Return_of_the_Bucentoro_to_the_Molo_on_Ascension_Day,_c._1733-4._Royal_Collection_Buckingham_Palace.jpg ;; 1:De_slag_bij_Terheide_-_The_Battle_of_Schevening_-_August_10_1653_(Willem_van_de_Velde_I,_1657).jpg
art_ukiyoe|浮世绘|1670|浮世绘把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Shibai_Ukie_by_Masanobu_Okumura.jpg ;; 1:Beauty_looking_back.jpg ;; 2:Toshusai_Sharaku-_Otani_Oniji,_1794.jpg
sci_microscope|显微镜 · 列文虎克发现微生物|1674|磨了一辈子镜片的布商,在水滴里看见了一个没人知道存在的世界。|0:Jan_Verkolje_-_Antonie_van_Leeuwenhoek.jpg ;; 1:View_of_Delft,_by_Johannes_Vermeer.jpg ;; 2:Jan_Vermeer_-_The_Art_of_Painting_-_Google_Art_Project.jpg
sci_huygens|光学 · 惠更斯的波动说|1678|牛顿说光是粒子,他偏说光是波,两人的争论吵了一百多年才有答案。|0:Christiaan_Huygens-painting.jpeg
eco_lloyds_insurance|劳合社 · 海上保险起源|1688|一家卖咖啡的小店,靠往来的船东和保险商聊出了全球最大的保险市场。|0:Lloyd's_of_London_logo.svg
eco_bank_of_england|英格兰银行 · 中央银行雏形|1694|国王缺钱打仗,商人凑钱放贷换来印钞特许权,中央银行就这样跟国债一起出生。|0:Bank-of-England.jpg
eco_south_sea_bubble|南海泡沫 · 英国股市狂热|1720|一家几乎没做成南美生意的公司,靠承诺帮政府还债把股价炒上了天,牛顿也未能全身而退。|0:South_Sea_Bubble.jpg
sci_linnaeus|生物分类法 · 林奈|1735|给每种生物起一个属加种的双名,混乱的自然界从此有了一张身份证。|0:Carl_von_Linné.jpg ;; 1:Linne_CoA.jpg ;; 2:Carl_Linnaeus_dressed_as_a_Laplander.jpg
sci_lind_scurvy|医学 · 林德与坏血病对照实验|1747|把病号分成六组分别喂不同的药,他用一艘船做出了史上第一次对照试验。|0:James_Lind_by_Chalmers.jpg
sci_franklin_electricity|电学 · 富兰克林的风筝实验|1752|放风筝放出了雷电的秘密,他顺手发明了能保命的避雷针。|0:Joseph_Siffrein_Duplessis_-_Benjamin_Franklin_-_Google_Art_Project.jpg ;; 1:Benjamin_Franklin_Birthplace_2.JPG ;; 2:Benjamin_Franklin_Birthplace.jpg
eco_canton_system|广州十三行 · 一口通商|1757|清廷把整个西方贸易压缩进一个口岸,顺差滚滚而来也埋下炮舰外交的引信。|0:Canton_factories.jpg ;; 1:康熙五十七年兩廣總督楊琳關於十三行的奏折.jpg ;; 2:Ostindiefararen-Götheborg-avsegling-oktober-2005.jpg
eco_eic_bengal|东印度公司 · 从商站到殖民税制|1757|一家做胡椒生意的公司,靠一场战役的胜利意外拿到了替皇帝收税的资格。|0:Flag_of_the_British_East_India_Company_(1801).svg ;; 1:India,_by_British_Information_Services,_1944_restored_version.jpg ;; 2:European_settlements_in_India_1501-1739.png
sci_lavoisier|化学 · 拉瓦锡与现代化学|1789|他把炼金术最后一点玄学味道过秤称掉了——质量守恒,不多不少。|0:David_-_Portrait_of_Monsieur_Lavoisier_(cropped)2.jpg ;; 1:Lavoisier,_Antoine_Laurent_de_(1743-1794)_CIPB1171.jpg ;; 2:David_-_Portrait_of_Monsieur_Lavoisier_and_His_Wife.jpg
sci_jenner|疫苗 · 詹纳牛痘接种|1796|挤奶女工从不出天花,他从这个乡间传闻里提炼出了整套疫苗原理。|0:Edward_Jenner.jpg ;; 1:Memorial_to_Edward_Jenner_in_Gloucester_Cathedral.jpg
sci_cavendish|物理学 · 卡文迪什称量地球|1798|用两个吊着的铅球测出万有引力常数,他等于是把地球放上了秤。|0:Cavendish_Henry_signature.jpg ;; 1:Cavendish_hydrogen.jpg
sci_volta_battery|电学 · 伏打电堆|1800|把锌片铜片和盐水布叠成一摞,他造出了世界上第一个能持续放电的电池。|0:Alessandro_Volta_01.jpg ;; 1:Alessandro_Volta.jpeg ;; 2:Painting_of_Volta_by_Bertini_(photo).jpeg
sci_dalton|原子论 · 道尔顿|1803|他把元素想象成一颗颗实心小球,现代化学从此有了看不见的积木。|0:John_Dalton_by_Charles_Turner.jpg ;; 1:Dalton_John_profile.jpg ;; 2:A_New_System_of_Chemical_Philosophy_fp.jpg
art_beethoven|贝多芬交响乐|1804|贝多芬交响乐把材料、技法与观看方式接在一起，留下超越时代的回声。|0:BeethovenFXD.jpg ;; 1:Ludwig_van_Beethoven's_parents.jpg ;; 2:BEETHHS.jpg
eco_gold_standard|金本位 · 英国率先确立|1821|英镑说能换多少黄金就真能换,别国想跟它做生意,只好也把货币钉在金价上。|0:Government-Vedder-Highsmith-detail-1.jpeg
sci_fourier|数学 · 傅里叶级数|1822|他证明再复杂的波形都能拆成一堆简单的正弦波叠加,信号处理的地基就此打下。|0:Fourier2_-_restoration1.jpg ;; 1:Grenoble_-_ancien_évêché_-_Joseph_Fourier.JPG ;; 2:Fourier_Père_Lachaise_2024.jpg
sci_non_euclidean|数学 · 非欧几何|1829|两条平行线也能相交——他们扔掉欧几里得的一条公理,打开了新的宇宙几何。|0:Stereographic_projection_in_3D.svg ;; 1:Triangle_on_spherical_plane.png
sci_babbage|计算机器 · 巴贝奇分析机|1837|他用纯机械齿轮设计出了一台能编程的电脑蓝图,可惜一辈子没造出来。|0:Charles_Babbage_-_1860.jpg ;; 1:Babbages_difference_engine_1832.jpg ;; 2:AnalyticalMachine_Babbage_London.jpg
sci_cell_theory|细胞学说|1839|植物是细胞、动物也是细胞,生命原来共用同一套最基本的积木。|0:HeLa_cells_stained_with_Hoechst_33258.jpg ;; 1:Leeuwenhoek_Microscope.png ;; 2:Hooke-microscope.png
sci_thermodynamics|热力学定律与熵|1850|能量总量不会凭空消失,但总有一部分会不可逆地变得没法再利用。|0:Carnot_heat_engine_2.svg
sci_foucault_pendulum|物理学 · 傅科摆|1851|一个悬在教堂穹顶下的铁球,摆动的方向本身就是地球在转动的证据。|0:Foucault.jpg ;; 1:Foucault_jean_bernard_leon_grave_montmartre_paris_01.jpg
eco_limited_liability|有限责任公司法 · 1855年法案|1855|投资失败最多赔光本金,不用连累身家性命,普通人才敢把钱投进陌生人的生意。|0:Society.svg ;; 1:Portal_commerce.jpg
sci_spectroscopy|光谱分析法|1859|把光分成一道道彩虹细纹,就能隔着几光年认出星星是什么元素做的。|0:Light_dispersion_of_a_mercury-vapor_lamp_with_a_flint_glass_prism_IPNr°0125.jpg
art_arts_crafts|工艺美术运动|1860|工艺美术运动把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Artichoke_wallpaper_Morris_and_Co_J_H_Dearle.jpg ;; 1:Ogle_County_Oregon_Public_Library_Oregon_Il1.jpg ;; 2:MyersKindergartenNZ.jpg
sci_mendel|遗传学 · 孟德尔遗传定律|1865|修道院花园里种了几年豌豆,他悄悄发现性状是按固定比例传下去的。|0:Gregor_Mendel_oval.jpg ;; 1:Zawadzki_and_Mendel.jpg ;; 2:Gregor_Johann_Mendel_bust.jpg
sci_nobel_dynamite|化学工程 · 诺贝尔发明炸药|1867|他把危险易爆的硝化甘油吸进硅藻土里稳定下来,顺手挣出了一份以自己名字命名的和平奖。|0:AlfredNobel_adjusted.jpg ;; 1:Alfred_Nobel_young.jpg
eco_suez_canal|苏伊士运河 · 全球航运捷径|1869|挖开一条地峡,亚洲到欧洲的航程直接砍掉大半个非洲的路程。|0:Suez_Canal,_Egypt_(31596166706).jpg ;; 1:Iss016e019375.jpg ;; 2:Suez_Canal_drawing_1881.jpg
sci_periodic_table|元素周期表 · 门捷列夫|1869|他按规律排完元素后,故意留了几个空格,还预言了空格里该长什么样。|0:Dmitri_Mendeleev.jpg ;; 1:Dmitri_Mendeleev_portrait_-_51374360512.png ;; 2:Mendelejevs_periodiska_system_1871.png
art_impressionism|印象派|1874|印象派把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Claude_Monet,_Impression,_soleil_levant,_1872.jpg
sci_lightbulb|电气照明 · 爱迪生白炽灯|1879|试了上千种灯丝材料才找到能烧不断的那一根,他真正卖的其实是整套供电系统。|0:Thomas_Edison2.jpg ;; 1:Young_Thomas_Edison.jpg ;; 2:Thomas_Edison,_1878.jpg
eco_standard_oil_trust|标准石油 · 托拉斯垄断模式|1882|把几十家对手的股票统一托管进一个信托,垄断这才有了看不见的法律外壳。|0:John_D_Rockefeller_1872.png ;; 1:HenryFlagler.jpg ;; 2:Standard_Oil.jpg
sci_pasteur|细菌学说与疫苗 · 巴斯德|1885|肉汤变质不是自然生出来的,是看不见的活物在作祟——这句话救了无数产妇和病人。|0:Louis_Pasteur,_foto_av_Paul_Nadar,_Crisco_edit.jpg ;; 1:Louis_Pasteur_Geburtshaus_in_Dole.jpg ;; 2:Tableau_Louis_Pasteur.jpg
art_cinema|电影诞生|1895|电影诞生把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Lascaux2.jpg ;; 1:The_Horse_in_motion._"Abe_Edgington,"_owned_by_Leland_Stanford;_driven_by_C._Marvin,_trotting_at_a_2-24_gait_over_the_Palo_Alto_track,_15th_June_1878_LOC_13624627695.jpg ;; 2:L'ArroseurArrosé.jpg
sci_xray|医学影像 · 伦琴发现X射线|1895|他无意间让一块荧光屏隔着黑纸发起光来,人类第一次看清了活人骨头的样子。|0:Wilhelm_Röntgen_1900_Portrait_(3x4_cropped).jpg ;; 1:WilhelmRöntgen.JPG
sci_curie_radioactivity|放射性 · 居里夫妇|1898|处理几吨沥青矿渣熬了几年,她提炼出的那一点点新元素会自己发光发热。|0:Marie_Curie_c._1920s.jpg ;; 1:Marie_Curie_birthplace.jpg ;; 2:Sklodowski_Family_Wladyslaw_and_his_daughters_Maria_Bronislawa_Helena.jpg
sci_radio|无线电 · 赫兹与马可尼|1901|先是证明了电磁波真实存在,十几年后就有人靠它把信号扔过了整个大西洋。|0:Guglielmo_Marconi.jpg ;; 1:Marconi_Rock_Salvan,_Switzerland.jpg ;; 2:Marconi_at_newfoundland.jpg
sci_wright|航空 · 莱特兄弟首飞|1903|十二秒钟、三十六米远,人类第一次靠动力飞机离地飞了起来。|0:Wilbur_Wright.jpg ;; 1:Orville_Wright_1905-crop.jpg ;; 2:Wilbur_Wright_child.jpg
art_jazz|爵士乐|1910|爵士乐把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Louis_Armstrong_restored.jpg
eco_fordism|福特制 · 流水线与日薪五美元|1913|把工人钉在固定工位上让车身自己移动过来,福特把速度换成工资再变成顾客。|0:Henry_Ford,_head-and-shoulders_portrait,_facing_slightly_left)_-_Hartsook_photo_LCCN94506959_Trim.jpg
eco_federal_reserve|美联储 · 分区中央银行体系|1913|美国晚了英国两百年才要中央银行,还非要拆成十二个地区分行才肯接受。|0:Seal_of_the_United_States_Federal_Reserve_System.svg
art_hollywood|好莱坞叙事电影|1915|好莱坞叙事电影把材料、技法与观看方式接在一起，留下超越时代的回声。|0:HollywoodSign.jpg ;; 1:USA_LosAngeles_CapitalRecordBldg.jpg ;; 2:USA_LosAngeles_Hollywood_ChineseTheater.jpg
art_bauhaus|包豪斯|1919|包豪斯把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Das_Bauhaus,_Dessau,_DDR_May_1990_(5288787560).jpg ;; 1:Bauhaus.JPG ;; 2:Bauhaus_Tel-Aviv_museum.jpg
sci_raman|光学 · 拉曼散射效应|1928|光穿过液体后颜色会悄悄改变一点点,他从这个细微现象里读出了分子的指纹。|0:Sir_CV_Raman.JPG
art_surreal_cinema|超现实主义电影|1929|超现实主义电影把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Un_chien_andalou-_Un_perro_andaluz.jpg
eco_great_depression|大萧条 · 1929股市崩盘|1929|华尔街崩盘不到一个月,失业和倒闭就顺着国际信贷链条淹到了大半个地球。|0:Lange-MigrantMother02.jpg ;; 1:Crowd_outside_nyse.jpg ;; 2:US_Farm_Prices_(1928-1935).JPG
art_bollywood|宝莱坞歌舞电影|1931|宝莱坞歌舞电影把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Salman's_Being_Human_show_at_HDIL_India_Couture_Week_2010_(1).jpg ;; 1:SRK_TagH.jpg ;; 2:Aamir_Khan_March_2015.jpg
sci_yukawa|粒子物理 · 汤川秀树介子理论|1935|他算出必须存在一种新粒子把原子核粘在一起,十几年后这颗粒子真的被找到了。|0:Yukawa.jpg ;; 1:Kahi_of_Yukawa_Hideki.jpg ;; 2:YUKAWA_HALL_001.jpg
eco_bretton_woods|布雷顿森林体系 · 美元挂钩黄金|1944|各国货币不再各自钉黄金,而是钉住美元,世界第一次有了统一的汇率锚。|0:Mount_Washington_Hotel_2003.JPG
art_manga|现代漫画|1947|现代漫画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Tagosaku_to_Mokube_no_Tokyo_Kenbutsu.jpg ;; 1:Japan_Bookstore.jpg ;; 2:Bookshelves_with_manga_(2).jpg
sci_transistor|晶体管|1947|一小块锗晶体加三根金属丝,笨重发烫的电子管时代就这样被悄悄终结了。|0:Transistorer_(cropped).jpg ;; 1:Replica-of-first-transistor.jpg ;; 2:Transistor_on_portuguese_pavement.jpg
sci_nuclear_power|核能发电|1954|同一种链式反应,换个方式释放能量,就从毁灭性武器变成了发电站。|0:RIAN_archive_409173_World's_first_nuclear_power_plant_in_Obninsk.jpg
sci_solar_cell|光伏太阳能电池|1954|一块硅片晒晒太阳就能发电,当时没人想到这东西几十年后会铺满沙漠。|0:Solar_cell.png ;; 1:Solar_cell.png ;; 2:PRINT.4.JPG
sci_polio_vaccine|疫苗 · 索尔克脊髓灰质炎疫苗|1955|他把疫苗专利拱手让出不申请,只为了让它尽快便宜地打进每个孩子的手臂。|0:Jonas_Salk_candid.jpg ;; 1:SalkatPitt.jpg ;; 2:Salkws.jpg
sci_integrated_circuit|集成电路|1958|把一堆分立的晶体管电阻电容全部刻进同一块芯片,计算机才终于能揣进口袋。|0:Integrated_circuit_on_microchip.jpg ;; 1:Samsung-Exynos-4412-Quad_SoC_used_in_I9300.jpg ;; 2:Microchip_for_Carbon_Nanotube_Field_Effect_Transistors_fabrication.jpg
art_beatles|披头士|1960|披头士把材料、技法与观看方式接在一起，留下超越时代的回声。|0:The_Beatles_1963_Dezo_Hoffman_Capitol_Records_press_photo_4-3_crop.jpg ;; 1:Abbey_Rd_Studios.jpg ;; 2:The_Beatles_and_Lill-Babs_1963.jpg
eco_opec|欧佩克 · 石油输出国组织|1960|几个产油国联手把定价权抢了回来,油价从此成了地缘政治的温度计。|0:Flag_of_OPEC.svg ;; 1:Opec_Gebäude_Wien_Helferstorferstraße_17.jpg ;; 2:GASOLINE_SHORTAGE_HIT_THE_STATE_OF_OREGON_IN_THE_FALL_OF_1973_BY_MIDDAY_GASOLINE_WAS_BECOMING_UNAVAILABLE_ALONG..._-_NARA_-_555405.jpg
sci_laser|激光|1960|造出来的时候连发明者自己都说这是个找不到用途的解决方案。|0:Lasers.JPG ;; 1:National_Ignition_Facility,_building_layout,_Livermore_CA.jpg ;; 2:Starfire_Optical_Range_-_three_lasers_into_space.jpg
sci_green_revolution|绿色革命 · 布劳格矮秆小麦|1960|把小麦育矮一截让它不倒伏,这一个改动后来据估计养活了十亿张嘴。|0:Cropduster_spraying_pesticides.jpg ;; 1:Maler_der_Grabkammer_des_Sennudem_001.jpg
sci_contraceptive_pill|口服避孕药|1960|一颗每天吃的小药丸,把生育这件事第一次交还给了女性自己决定。|0:Antibabypille.jpg
art_japanese_anime|日本动画|1963|日本动画把材料、技法与观看方式接在一起，留下超越时代的回声。|0:TVアニメ「ヒロインたるもの！～嫌われヒロインと内緒のお仕事～」第2弾PV_-_4月7日（木）放送開始.webm ;; 1:Momotaro's_Divine_Sea_Warriors-screeny.JPG
eco_east_asian_tigers|亚洲四小龙 · 出口导向奇迹|1965|几乎没有天然资源,几个经济体靠专攻出口制造业,两代人时间跑完欧洲两百年的路。|0:Seoul_from_Namsan_2.jpg ;; 1:Taipei_Skyline_2022.06.29.jpg ;; 2:View_of_Toa_Payoh_2009_LL.jpg
sci_heart_transplant|器官移植 · 首例心脏移植|1967|把一颗刚刚停跳的心脏缝进另一个人的胸腔,他证明这件事真的能做到。|0:Christiaan_Barnard_(1968).jpg
sci_apollo|登月 · 阿波罗11号|1969|在计算能力远不如今天一部手机的年代,他们真的把人送上了月球又接了回来。|0:Aldrin_Apollo_11_original.jpg
sci_arpanet|阿帕网与互联网协议|1969|军方担心核战炸毁通信中枢,意外催生出一张没有中心、炸不断的网络。|0:Arpanet_logical_map,_march_1977.png
art_video_game|电子游戏艺术|1972|电子游戏艺术把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Tennis_For_Two_on_a_DuMont_Lab_Oscilloscope_Type_304-A.jpg ;; 1:Spacewar!-PDP-1-20070512.jpg ;; 2:Radio_Shack_Tandy_TRS-80_Model_I_System.JPG
art_hiphop|嘻哈文化|1973|嘻哈文化把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Public_Enemy_at_Castillo_Negro,_Tenerife,_Islas_Canarias,_20_April_2007.jpg ;; 1:Dj_Kool_Herc-03.jpg ;; 2:DJ_Hypnotize_and_Baby_Cee.jpg
sci_ivf|试管婴儿技术|1978|受精卵先在培养皿里完成,再放回母体——生命的第一步第一次挪出了身体。|0:Stony_coral_spawning.jpg
