id|标题|领域|年份|已有links(+分隔)
romantic|浪漫主义|art|1800|modernart
sci_volta_battery|电学 · 伏打电堆|sci|1800|maxwell
rel_santeria|圣特里亚教|rel|1800|
sci_dalton|原子论 · 道尔顿|sci|1803|sci_periodic_table
napcode|拿破仑法典|pol|1804|
art_beethoven|贝多芬交响乐|art|1804|
phi_hegel|黑格尔 · 辩证法与精神|phi|1807|marx
pol_hawaii_kingdom|夏威夷王国统一|pol|1810|
pol_congress_vienna|维也纳会议与均势体系|pol|1815|
pol_zulu_kingdom|祖鲁王国军事政制|pol|1816|ren_nguni_zulu
ren_metis_canada|梅蒂人 · 加拿大混血民族|ren|1816|
phi_schopenhauer|叔本华 · 生存意志|phi|1818|freud+phi_nietzsche
ren_nguni_zulu|祖鲁人的姆费卡内重组|ren|1818|decolonize_a
pol_bolivar_independence|玻利瓦尔与拉美独立战争|pol|1819|
sci_antarctic_sighting|首见南极大陆|sci|1820|arc_heroic_age
arc_underground_railroad|地下铁路北逃网络(弧)|ren|1820|
eco_gold_standard|金本位 · 英国率先确立|eco|1821|eco_nixon_shock
sci_fourier|数学 · 傅里叶级数|sci|1822|sci_radio
arc_back_to_africa|解放黑奴回迁利比里亚(弧)|ren|1822|
eco_railway|铁路 · 斯托克顿-达灵顿蒸汽运输|eco|1825|eco_suez_canal
sci_non_euclidean|数学 · 非欧几何|sci|1829|relativity
phi_positivism_comte|孔德 · 实证主义与社会学|phi|1830|
rel_mormon_founding|摩门教创立|rel|1830|arc_mormon_trail
ren_anglo_indian|英印混血社群|ren|1830|
pol_britain_abolition|大英帝国废除奴隶制法案|pol|1833|arc_indian_indenture
sci_babbage|计算机器 · 巴贝奇分析机|sci|1837|
rel_tenrikyo|天理教|rel|1838|
arc_indian_indenture|印度契约劳工赴加勒比(弧)|ren|1838|
art_photography|摄影术诞生|art|1839|art_impressionism
sci_cell_theory|细胞学说|sci|1839|dna
pol_ottoman_tanzimat|奥斯曼坦志麦特改革|pol|1839|
sci_ross_sea|罗斯远征 · 冰障与火山|sci|1841|sci_pole_race
phi_kierkegaard|克尔凯郭尔 · 信仰之跃|phi|1843|existential
rel_adventist|米勒运动|rel|1844|
arc_irish_famine|爱尔兰大饥荒移民(弧)|ren|1845|
sci_anesthesia|麻醉术 · 乙醚公开演示|sci|1846|
arc_mormon_trail|摩门信徒西迁盐湖城(弧)|rel|1846|
arc_tea_transfer|茶树技术移植印度(弧)|sci|1848|
sci_thermodynamics|热力学定律与熵|sci|1850|sci_nuclear_power
ren_qiaopi|侨批网络|ren|1850|reform_cn
migr_atlantic_a|跨洋移民潮(弧)|ren|1850|
arc_xia_nanyang|下南洋(弧)|ren|1850|
sci_foucault_pendulum|物理学 · 傅科摆|sci|1851|
eco_department_store|百货公司 · 邦马歇零售革命|eco|1852|
eco_limited_liability|有限责任公司法 · 1855年法案|eco|1855|
pol_indian_rebellion_1857|印度民族大起义|pol|1857|arc_sikh_diaspora
darwin|进化论 · 达尔文|sci|1859|freud
sci_spectroscopy|光谱分析法|sci|1859|relativity+sci_raman
art_arts_crafts|工艺美术运动|art|1860|
arc_chuang_guandong|闯关东(弧)|ren|1860|
rel_bahai|巴哈伊信仰|rel|1863|rel_world_parliament
arc_blackbirding|太平洋黑鸟劳工贸易(弧)|ren|1863|
maxwell|电磁学 · 法拉第—麦克斯韦|sci|1865|relativity+internet+eco_transatlantic_cable
sci_mendel|遗传学 · 孟德尔遗传定律|sci|1865|dna
pol_us_civil_war_13th|美国内战与废奴修正案|pol|1865|civilrights
arc_chinese_railroad|华工筑美洲铁路(弧)|ren|1865|
eco_transatlantic_cable|电报商业 · 跨大西洋海底电缆|eco|1866|
marx|马克思主义 · 《资本论》|phi|1867|russrev+phi_mariategui
sci_nobel_dynamite|化学工程 · 诺贝尔发明炸药|sci|1867|
pol_meiji_restoration|明治维新|pol|1868|eco_zaibatsu_japan+arc_japanese_brazil
eco_suez_canal|苏伊士运河 · 全球航运捷径|eco|1869|
sci_periodic_table|元素周期表 · 门捷列夫|sci|1869|sci_solar_cell
eco_zaibatsu_japan|殖产兴业 · 日本财阀近代化|eco|1873|
art_impressionism|印象派|art|1874|
rel_theosophy|神智学|rel|1875|rel_vivekananda
phi_pragmatism|实用主义 · 实效准则|phi|1878|phi_quine
sci_lightbulb|电气照明 · 爱迪生白炽灯|sci|1879|
phi_analytic_frege_russell|分析哲学 · 弗雷格的概念文字|phi|1879|turing+phi_wittgenstein
eco_standard_oil_trust|标准石油 · 托拉斯垄断模式|eco|1882|eco_opec
ren_chinatown|唐人街侨社自治|ren|1882|
phi_nietzsche|尼采 · 上帝已死|phi|1883|existential
pol_berlin_conference|柏林会议瓜分非洲|pol|1884|decolonize_a
sci_pasteur|细菌学说与疫苗 · 巴斯德|sci|1885|penicillin+sci_polio_vaccine
rel_ahmadiyya|艾哈迈迪亚运动|rel|1889|
rel_ghost_dance|幽灵舞运动|rel|1890|rel_native_american_church
ren_ellis_island|移民甄别站|ren|1892|
pol_nz_suffrage|新西兰妇女普选权|pol|1893|pol_womens_suffrage_wave
rel_world_parliament|世界宗教议会|rel|1893|rel_vivekananda
art_cinema|电影诞生|art|1895|art_hollywood
sci_xray|医学影像 · 伦琴发现X射线|sci|1895|sci_curie_radioactivity
rel_vivekananda|辨喜与印度教复兴|rel|1897|art_bengal_school
arc_sikh_diaspora|锡克人移民加拿大(弧)|ren|1897|
arc_heroic_age|南极英雄时代远征潮(弧)|ren|1897|
sci_curie_radioactivity|放射性 · 居里夫妇|sci|1898|nuke+sci_nuclear_power
freud|精神分析 · 弗洛伊德|phi|1900|modernart+art_surreal_cinema
sci_radio|无线电 · 赫兹与马可尼|sci|1901|internet
sci_wright|航空 · 莱特兄弟首飞|sci|1903|
eco_southern_whaling|南大洋捕鲸业|eco|1904|
relativity|相对论与量子力学|sci|1905|nuke+turing+phi_process_whitehead+sci_ligo
art_bengal_school|孟加拉画派|art|1905|
rel_secularization|世俗化 · 政教分离|rel|1905|
rel_pentecostal_azusa|五旬节运动|rel|1906|
modernart|现代主义艺术 · 毕加索—杜尚|art|1907|
rel_umbanda|温班达教|rel|1908|
arc_japanese_brazil|日本移民巴西咖啡园(弧)|ren|1908|
art_jazz|爵士乐|art|1910|
phi_kyoto_school|京都学派 · 绝对无|phi|1911|
sci_pole_race|极点竞赛 · 阿蒙森与斯科特|sci|1911|
eco_fordism|福特制 · 流水线与日薪五美元|eco|1913|
eco_federal_reserve|美联储 · 分区中央银行体系|eco|1913|eco_great_depression+eco_bretton_woods
phi_husserl|现象学 · 回到事物本身|phi|1913|phi_heidegger+phi_derrida
worldwars|两次世界大战|pol|1914|decolonize_a+coldwar+nuke+ren_bracero
art_hollywood|好莱坞叙事电影|art|1915|
ren_armenian_diaspora|亚美尼亚大离散|ren|1915|
sci_shackleton|坚忍号 · 沙克尔顿|sci|1915|
rel_won_buddhism|圆佛教|rel|1916|
russrev|俄国革命|pol|1917|coldwar
phi_tagore_humanism|泰戈尔 · 普世人文主义|phi|1917|phi_sen_capability
rel_native_american_church|美洲原住民教会|rel|1918|
art_bauhaus|包豪斯|art|1919|
pol_league_of_nations|国际联盟与凡尔赛体系|pol|1919|pol_un_founding+ren_kurds
pol_weimar_constitution|魏玛共和国宪法|pol|1919|eco_weimar_hyperinflation
pol_womens_suffrage_wave|妇女普选权修宪浪潮|pol|1920|
ren_kurds|库尔德人 · 无国之族|ren|1920|
phi_wittgenstein|维特根斯坦 · 语言的界限|phi|1921|
rel_kimbanguism|金邦古教会|rel|1921|
eco_weimar_hyperinflation|魏玛恶性通胀 · 一战赔款危机|eco|1923|
rel_cao_dai|高台教|rel|1926|
art_egypt_cinema|埃及电影|art|1927|
phi_heidegger|海德格尔 ·《存在与时间》|phi|1927|existential+phi_arendt
penicillin|抗生素 · 青霉素|sci|1928|
sci_raman|光学 · 拉曼散射效应|sci|1928|
phi_mariategui|马里亚特吉 · 秘鲁现实七论|phi|1928|
art_surreal_cinema|超现实主义电影|art|1929|
eco_great_depression|大萧条 · 1929股市崩盘|eco|1929|eco_keynesian_revolution+eco_bretton_woods
phi_process_whitehead|怀特海 · 过程哲学|phi|1929|
pol_gandhi_salt_march|甘地食盐进军|pol|1930|civilrights+pol_india_partition
rel_rastafari|拉斯塔法里|rel|1930|
art_bollywood|宝莱坞歌舞电影|art|1931|
phi_popper|波普尔 · 证伪主义|phi|1934|
sci_yukawa|粒子物理 · 汤川秀树介子理论|sci|1935|
turing|计算机 · 图灵|sci|1936|internet+ai+art_video_game
eco_keynesian_revolution|凯恩斯革命 ·《通论》|eco|1936|
phi_frankfurt_school|法兰克福学派 · 批判理论|phi|1937|phi_foucault
ren_bracero|墨西哥短工计划|ren|1942|
eco_bretton_woods|布雷顿森林体系 · 美元挂钩黄金|eco|1944|eco_nixon_shock+eco_wto_gatt+ren_guest_worker_europe
nuke|核武器 · 曼哈顿计划|sci|1945|coldwar
existential|存在主义 · 萨特—加缪|phi|1945|
pol_un_founding|联合国宪章|pol|1945|coldwar
pol_nuremberg_trials|纽伦堡审判|pol|1945|pol_rwanda_tribunal
arc_coldwar_braindrain|冷战火箭科学家西渡(弧)|sci|1945|coldwar
coldwar|冷战|pol|1947|globalization+arc_boat_people+arc_afghan_refugees
art_manga|现代漫画|art|1947|
sci_transistor|晶体管|sci|1947|sci_integrated_circuit
pol_india_partition|印度独立与印巴分治|pol|1947|decolonize_a
decolonize_a|去殖民化浪潮(弧)|pol|1947|ren_rohingya
pol_universal_declaration|世界人权宣言|pol|1948|
ren_windrush|疾风世代|ren|1948|
phi_feminist_theory_beauvoir|波伏娃 ·《第二性》|phi|1949|
pol_chinese_revolution_1949|中华人民共和国成立|pol|1949|reform_cn+ren_tibetan_diaspora
phi_quine|蒯因 · 经验论的两个教条|phi|1951|
phi_arendt|阿伦特 · 极权主义的起源|phi|1951|
pol_eu_ecsc|欧洲煤钢共同体|pol|1951|pol_eu_maastricht
ren_refugee_convention|难民公约与庇护制度|ren|1951|migr_now_a
dna|DNA 双螺旋|sci|1953|ai+sci_dolly
sci_nuclear_power|核能发电|sci|1954|climate
sci_solar_cell|光伏太阳能电池|sci|1954|climate
pol_algeria_independence|阿尔及利亚独立战争|pol|1954|ren_pied_noir
sci_polio_vaccine|疫苗 · 索尔克脊髓灰质炎疫苗|sci|1955|
pol_bandung_conference|万隆会议与不结盟运动|pol|1955|
eco_container_shipping|集装箱 · 标准化海运革命|eco|1956|globalization
eco_silicon_valley_vc|风险投资 · 硅谷创新资本模式|eco|1957|eco_gig_economy
sci_igy_antarctic|国际地球物理年 · 南极科学网|sci|1957|pol_antarctic_treaty
sci_integrated_circuit|集成电路|sci|1958|sci_arpanet
ren_tibetan_diaspora|藏人海外社群|ren|1959|
pol_antarctic_treaty|南极条约|pol|1959|
civilrights|民权与平权运动|pol|1960|
art_beatles|披头士|art|1960|
eco_opec|欧佩克 · 石油输出国组织|eco|1960|arc_gulf_labor
sci_laser|激光|sci|1960|
sci_green_revolution|绿色革命 · 布劳格矮秆小麦|sci|1960|globalization
sci_contraceptive_pill|口服避孕药|sci|1960|civilrights
phi_levinas|列维纳斯 · 他者的伦理学|phi|1961|
ren_guest_worker_europe|欧洲客工计划|ren|1961|
ren_pied_noir|阿尔及利亚黑脚移民|ren|1962|
art_video_art|录像艺术|art|1963|
art_japanese_anime|日本动画|art|1963|
pol_oau_founding|非洲统一组织成立|pol|1963|
eco_east_asian_tigers|亚洲四小龙 · 出口导向奇迹|eco|1965|art_kpop
rel_vatican_ii|梵二会议|rel|1965|
pol_cultural_revolution|文化大革命|pol|1966|reform_cn
sci_heart_transplant|器官移植 · 首例心脏移植|sci|1967|
phi_derrida|德里达 · 解构主义|phi|1967|
sci_apollo|登月 · 阿波罗11号|sci|1969|climate
sci_arpanet|阿帕网与互联网协议|sci|1969|internet
eco_nixon_shock|尼克松冲击 · 美元与黄金脱钩|eco|1971|eco_euro
phi_liberation_theology|解放神学 · 古铁雷斯|phi|1971|
phi_rawls|罗尔斯 ·《正义论》|phi|1971|
rel_liberation_theology|解放神学|rel|1971|
art_video_game|电子游戏艺术|art|1972|
art_hiphop|嘻哈文化|art|1973|
arc_gulf_labor|南亚赴海湾劳工潮(弧)|ren|1973|
phi_foucault|福柯 · 规训与惩罚|phi|1975|
pol_helsinki_accords|赫尔辛基协议|pol|1975|
ren_hmong|苗人跨境离散|ren|1975|
arc_boat_people|越南船民潮(弧)|ren|1975|
phi_hountondji|翁通吉 · 非洲哲学之争|phi|1976|
reform_cn|改革开放与东亚崛起|eco|1978|globalization+pol_hongkong_handover
sci_ivf|试管婴儿技术|sci|1978|sci_genome_project
phi_postcolonial_said|萨义德 ·《东方主义》|phi|1978|
pol_iran_revolution|伊朗伊斯兰革命|pol|1979|
arc_afghan_refugees|阿富汗难民潮(弧)|ren|1979|
eco_shenzhen_sez|经济特区 · 深圳制度试验|eco|1980|
ren_rohingya|罗兴亚人的无国籍|ren|1982|
eco_grameen_microcredit|格莱珉银行 · 小额信贷扶贫模式|eco|1983|
sci_ozone_hole|南极臭氧洞|sci|1985|climate
eco_walmart_supply_chain|沃尔玛 · 全球即时供应链|eco|1988|
arc_india_silicon_valley|印度赴硅谷科技人才流(弧)|sci|1990|internet+ai
internet|互联网与万维网|sci|1991|ai+globalization+pol_internet_governance_icann+pol_arab_spring
art_kpop|韩国流行音乐|art|1992|
pol_eu_maastricht|欧盟正式成立|pol|1993|pol_eu_brexit
pol_apartheid_end|南非结束种族隔离|pol|1994|phi_ubuntu
pol_rwanda_tribunal|卢旺达问题国际法庭|pol|1994|
globalization|全球化|eco|1995|reform_cn+climate
eco_wto_gatt|关贸总协定到世贸组织|eco|1995|
pol_schengen_area|申根协定|pol|1995|
sci_dolly|克隆技术 · 多利羊|sci|1996|
pol_hongkong_handover|香港回归与一国两制|pol|1997|
pol_kyoto_paris_climate_gov|京都议定书与巴黎协定|pol|1997|
pol_internet_governance_icann|互联网治理:ICANN成立|pol|1998|
sci_ice_core|深冰芯 · 东方站|sci|1998|climate
eco_euro|欧元 · 单一货币的政治实验|eco|1999|
phi_sen_capability|阿马蒂亚·森 · 以自由看待发展|phi|1999|
phi_ubuntu|乌班图 · 我在故我们在|phi|1999|
climate|气候变化与人类世|sci|2000|migr_now_a
sci_genome_project|人类基因组计划|sci|2003|sci_crispr
eco_mpesa|M-Pesa · 手机货币改变非洲金融|eco|2007|
eco_gig_economy|零工经济 · 平台劳动新形态|eco|2009|
pol_arab_spring|阿拉伯之春|pol|2010|
eco_alipay_wechatpay|移动支付 · 中国扫码支付革命|eco|2011|
ai|人工智能|sci|2012|
sci_higgs|粒子物理 · 希格斯玻色子|sci|2012|
sci_crispr|基因编辑 · CRISPR|sci|2012|sci_mrna_vaccine
sci_ligo|引力波探测|sci|2015|
migr_now_a|当代大迁移(弧)|ren|2015|
sci_alphago|深度学习 · AlphaGo战胜李世石|sci|2016|sci_llm_boom
pol_eu_brexit|英国脱欧|pol|2016|
sci_mrna_vaccine|mRNA疫苗|sci|2020|
sci_llm_boom|深度学习 · 大语言模型爆发|sci|2022|
