id|标题|领域|年份|一句话
sci_non_euclidean|数学 · 非欧几何|sci|1829|两条平行线也能相交——他们扔掉欧几里得的一条公理,打开了新的宇宙几何。
sci_babbage|计算机器 · 巴贝奇分析机|sci|1837|他用纯机械齿轮设计出了一台能编程的电脑蓝图,可惜一辈子没造出来。
art_photography|摄影术诞生|art|1839|摄影术诞生把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_cell_theory|细胞学说|sci|1839|植物是细胞、动物也是细胞,生命原来共用同一套最基本的积木。
sci_anesthesia|麻醉术 · 乙醚公开演示|sci|1846|手术台上曾经的惨叫声,因为一瓶乙醚,一夜之间就安静了下来。
sci_thermodynamics|热力学定律与熵|sci|1850|能量总量不会凭空消失,但总有一部分会不可逆地变得没法再利用。
sci_foucault_pendulum|物理学 · 傅科摆|sci|1851|一个悬在教堂穹顶下的铁球,摆动的方向本身就是地球在转动的证据。
eco_department_store|百货公司 · 邦马歇零售革命|eco|1852|明码标价、允许退换、谁都能进门随便看,百货公司把讨价还价的市集变成逛街。
eco_limited_liability|有限责任公司法 · 1855年法案|eco|1855|投资失败最多赔光本金,不用连累身家性命,普通人才敢把钱投进陌生人的生意。
sci_spectroscopy|光谱分析法|sci|1859|把光分成一道道彩虹细纹,就能隔着几光年认出星星是什么元素做的。
art_arts_crafts|工艺美术运动|art|1860|工艺美术运动把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_mendel|遗传学 · 孟德尔遗传定律|sci|1865|修道院花园里种了几年豌豆,他悄悄发现性状是按固定比例传下去的。
eco_transatlantic_cable|电报商业 · 跨大西洋海底电缆|eco|1866|伦敦纽约的行情差价曾要靠一艘船十天追平,一根海底电缆把它压缩成几分钟。
sci_nobel_dynamite|化学工程 · 诺贝尔发明炸药|sci|1867|他把危险易爆的硝化甘油吸进硅藻土里稳定下来,顺手挣出了一份以自己名字命名的和平奖。
eco_suez_canal|苏伊士运河 · 全球航运捷径|eco|1869|挖开一条地峡,亚洲到欧洲的航程直接砍掉大半个非洲的路程。
sci_periodic_table|元素周期表 · 门捷列夫|sci|1869|他按规律排完元素后,故意留了几个空格,还预言了空格里该长什么样。
eco_zaibatsu_japan|殖产兴业 · 日本财阀近代化|eco|1873|政府先把工厂办起来又低价卖给自己人,几个家族集团包揽了近代化的大半产业链。
art_impressionism|印象派|art|1874|印象派把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_lightbulb|电气照明 · 爱迪生白炽灯|sci|1879|试了上千种灯丝材料才找到能烧不断的那一根,他真正卖的其实是整套供电系统。
eco_standard_oil_trust|标准石油 · 托拉斯垄断模式|eco|1882|把几十家对手的股票统一托管进一个信托,垄断这才有了看不见的法律外壳。
sci_pasteur|细菌学说与疫苗 · 巴斯德|sci|1885|肉汤变质不是自然生出来的,是看不见的活物在作祟——这句话救了无数产妇和病人。
art_cinema|电影诞生|art|1895|电影诞生把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_xray|医学影像 · 伦琴发现X射线|sci|1895|他无意间让一块荧光屏隔着黑纸发起光来,人类第一次看清了活人骨头的样子。
sci_curie_radioactivity|放射性 · 居里夫妇|sci|1898|处理几吨沥青矿渣熬了几年,她提炼出的那一点点新元素会自己发光发热。
sci_radio|无线电 · 赫兹与马可尼|sci|1901|先是证明了电磁波真实存在,十几年后就有人靠它把信号扔过了整个大西洋。
sci_wright|航空 · 莱特兄弟首飞|sci|1903|十二秒钟、三十六米远,人类第一次靠动力飞机离地飞了起来。
art_bengal_school|孟加拉画派|art|1905|孟加拉画派把材料、技法与观看方式接在一起，留下超越时代的回声。
art_jazz|爵士乐|art|1910|爵士乐把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_fordism|福特制 · 流水线与日薪五美元|eco|1913|把工人钉在固定工位上让车身自己移动过来,福特把速度换成工资再变成顾客。
eco_federal_reserve|美联储 · 分区中央银行体系|eco|1913|美国晚了英国两百年才要中央银行,还非要拆成十二个地区分行才肯接受。
art_hollywood|好莱坞叙事电影|art|1915|好莱坞叙事电影把材料、技法与观看方式接在一起，留下超越时代的回声。
art_bauhaus|包豪斯|art|1919|包豪斯把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_weimar_hyperinflation|魏玛恶性通胀 · 一战赔款危机|eco|1923|面包价格一天涨好几次,工人领了工资得立刻冲去买东西,晚一小时钱就更不值钱。
art_egypt_cinema|埃及电影|art|1927|埃及电影把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_raman|光学 · 拉曼散射效应|sci|1928|光穿过液体后颜色会悄悄改变一点点,他从这个细微现象里读出了分子的指纹。
art_surreal_cinema|超现实主义电影|art|1929|超现实主义电影把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_great_depression|大萧条 · 1929股市崩盘|eco|1929|华尔街崩盘不到一个月,失业和倒闭就顺着国际信贷链条淹到了大半个地球。
art_bollywood|宝莱坞歌舞电影|art|1931|宝莱坞歌舞电影把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_yukawa|粒子物理 · 汤川秀树介子理论|sci|1935|他算出必须存在一种新粒子把原子核粘在一起,十几年后这颗粒子真的被找到了。
eco_keynesian_revolution|凯恩斯革命 ·《通论》|eco|1936|市场不一定自己找到充分就业,政府花钱反而可能是治病的药,这在当时算离经叛道。
eco_bretton_woods|布雷顿森林体系 · 美元挂钩黄金|eco|1944|各国货币不再各自钉黄金,而是钉住美元,世界第一次有了统一的汇率锚。
art_manga|现代漫画|art|1947|现代漫画把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_transistor|晶体管|sci|1947|一小块锗晶体加三根金属丝,笨重发烫的电子管时代就这样被悄悄终结了。
sci_nuclear_power|核能发电|sci|1954|同一种链式反应,换个方式释放能量,就从毁灭性武器变成了发电站。
sci_solar_cell|光伏太阳能电池|sci|1954|一块硅片晒晒太阳就能发电,当时没人想到这东西几十年后会铺满沙漠。
sci_polio_vaccine|疫苗 · 索尔克脊髓灰质炎疫苗|sci|1955|他把疫苗专利拱手让出不申请,只为了让它尽快便宜地打进每个孩子的手臂。
eco_container_shipping|集装箱 · 标准化海运革命|eco|1956|把货物锁进统一尺寸的铁箱子,码头工人一下子就从几十人减到几个人。
eco_silicon_valley_vc|风险投资 · 硅谷创新资本模式|eco|1957|一群工程师集体出走单干,投资人赌的不是厂房存货,而是几个人脑子里的点子。
sci_integrated_circuit|集成电路|sci|1958|把一堆分立的晶体管电阻电容全部刻进同一块芯片,计算机才终于能揣进口袋。
art_beatles|披头士|art|1960|披头士把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_opec|欧佩克 · 石油输出国组织|eco|1960|几个产油国联手把定价权抢了回来,油价从此成了地缘政治的温度计。
sci_laser|激光|sci|1960|造出来的时候连发明者自己都说这是个找不到用途的解决方案。
sci_green_revolution|绿色革命 · 布劳格矮秆小麦|sci|1960|把小麦育矮一截让它不倒伏,这一个改动后来据估计养活了十亿张嘴。
sci_contraceptive_pill|口服避孕药|sci|1960|一颗每天吃的小药丸,把生育这件事第一次交还给了女性自己决定。
art_video_art|录像艺术|art|1963|录像艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
art_japanese_anime|日本动画|art|1963|日本动画把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_east_asian_tigers|亚洲四小龙 · 出口导向奇迹|eco|1965|几乎没有天然资源,几个经济体靠专攻出口制造业,两代人时间跑完欧洲两百年的路。
sci_heart_transplant|器官移植 · 首例心脏移植|sci|1967|把一颗刚刚停跳的心脏缝进另一个人的胸腔,他证明这件事真的能做到。
sci_apollo|登月 · 阿波罗11号|sci|1969|在计算能力远不如今天一部手机的年代,他们真的把人送上了月球又接了回来。
sci_arpanet|阿帕网与互联网协议|sci|1969|军方担心核战炸毁通信中枢,意外催生出一张没有中心、炸不断的网络。
eco_nixon_shock|尼克松冲击 · 美元与黄金脱钩|eco|1971|一句电视讲话,美元说不换金子就不换了,固定汇率的时代一夜结束。
art_video_game|电子游戏艺术|art|1972|电子游戏艺术把材料、技法与观看方式接在一起，留下超越时代的回声。
art_hiphop|嘻哈文化|art|1973|嘻哈文化把材料、技法与观看方式接在一起，留下超越时代的回声。
sci_ivf|试管婴儿技术|sci|1978|受精卵先在培养皿里完成,再放回母体——生命的第一步第一次挪出了身体。
eco_shenzhen_sez|经济特区 · 深圳制度试验|eco|1980|在一个渔村划一道线,线内允许市场化做法先试先行,特区成了整场改革的沙盒。
eco_grameen_microcredit|格莱珉银行 · 小额信贷扶贫模式|eco|1983|银行嫌穷人风险太高不肯放贷,一位经济学教授就自己贷了27美元给村里妇女试试看。
eco_walmart_supply_chain|沃尔玛 · 全球即时供应链|eco|1988|收银台条码一扫,大洋彼岸的工厂就知道该补多少货,零售商第一次抢先看到需求。
art_kpop|韩国流行音乐|art|1992|韩国流行音乐把材料、技法与观看方式接在一起，留下超越时代的回声。
eco_wto_gatt|关贸总协定到世贸组织|eco|1995|一份战后临时性关税协议,拖了近五十年才升级成有仲裁牙齿的国际组织。
sci_dolly|克隆技术 · 多利羊|sci|1996|取一个成年细胞的核换进去,她成了第一只由成体细胞克隆出来的哺乳动物。
eco_euro|欧元 · 单一货币的政治实验|eco|1999|十几个主权国家交出了印钞权,却没交出财政权,这道裂缝后来在债务危机里露了馅。
sci_genome_project|人类基因组计划|sci|2003|把组成一个人的全部三十多亿个字母都读了出来,足足花了十三年、数十亿美元。
eco_mpesa|M-Pesa · 手机货币改变非洲金融|eco|2007|银行网点没铺到的地方,一条手机短信就能把钱转给几百公里外的家人。
eco_gig_economy|零工经济 · 平台劳动新形态|eco|2009|司机不再是谁的员工只是接了一个个单,平台把雇佣关系拆成随时下线的任务。
eco_alipay_wechatpay|移动支付 · 中国扫码支付革命|eco|2011|现金和银行卡都被绕了过去,一个二维码让路边摊贩接进了全国清算网络。
sci_higgs|粒子物理 · 希格斯玻色子|sci|2012|为了找一颗被预言存在了近半个世纪的粒子,他们造了一台能绕地球一圈的对撞机。
sci_crispr|基因编辑 · CRISPR|sci|2012|把细菌用来抵御病毒的防御系统改造一下,人类第一次能精准剪切自己的基因。
sci_ligo|引力波探测|sci|2015|两个黑洞十几亿年前相撞产生的涟漪,终于在地球上被一台仪器捕捉到了。
sci_alphago|深度学习 · AlphaGo战胜李世石|sci|2016|围棋的可能局面比宇宙原子还多,一个程序还是在首尔把顶尖棋手打得心服口服。
sci_mrna_vaccine|mRNA疫苗|sci|2020|不再往身体里注射病毒本身,而是给细胞一份说明书,让它自己造出防御武器。
sci_llm_boom|深度学习 · 大语言模型爆发|sci|2022|喂给它整个互联网的文字,它学会的不只是接话,还有推理和写代码。
ren_first_australians|澳大利亚原住民定居|ren|-65000|跨海而来的第一批人,守住了地球上最长的连续文化。
ren_neanderthal_admix|尼安德特人遗传印记|ren|-50000|被视为灭绝对手的近亲,其实活在多数人的基因里。
ren_denisovan|丹尼索瓦人混血|ren|-40000|一节指骨牵出人类家谱里被遗忘的第三支旁系。
ren_pygmy|中非俾格米人|ren|-20000|雨林教会他们把身材调小,把脚步声调到听不见。
ren_first_americans|美洲首批居民|ren|-15000|最后一块无人大陆,被一群追着猎物走的人踏破。
ren_natufian|纳图夫人定居|ren|-12000|先盖房子后种地,农业革命的顺序被这群人推翻。
ren_papuan_highland|巴布亚高地农人|ren|-7000|山谷把语言拆成八百种,却拆不散同一群种芋人。
pol_egypt_kingship|古埃及法老神王制|pol|-3100|一顶双料王冠,把尼罗河两岸变成同一个神的领地。
rel_egypt_afterlife|来世信仰 · 古埃及|rel|-2400|心脏放上天平称重——古埃及人第一次把道德变成死后可核算的账目。
pol_akkad|阿卡德帝国|pol|-2334|萨尔贡把两河众城邦收进一顶王冠,"帝国"这个词第一次有了原型。
pol_ur3|乌尔第三王朝|pol|-2112|治理先靠表格而非誓言——泥板账目比法典更早统一了两河。
ren_khoisan|科伊桑人|ren|-2000|基因树最深的一支,却被自己发现的土地渐渐挤到边缘。
rel_vedic_religion|吠陀宗教 · 火祭|rel|-1500|用火当邮差,把供品烧给看不见的神——印度教三千年前的操作系统。
pol_israel_monarchy|大卫所罗门联合王国|pol|-1000|十二支派拼成一个王国,统一的代价是后来的分裂。
rel_zoroaster|琐罗亚斯德教|rel|-1000|世界第一次被讲成善与恶两大阵营的战争,天堂地狱的账本从此开张。
pol_assyria_provinces|亚述行省与强制迁徙|pol|-900|用恐惧当行政工具:把反抗者整族连根拔起,让他们无处扎根。
pol_kush_meroe|库施 · 麦罗埃王国|pol|-750|埃及衰落时,努比亚人反过来把法老的王冠戴上了自己的头。
phi_upanishads|奥义书 · 梵我合一|phi|-700|把终极追问从祭祀转向内心,梵与我本是一体——印度形而上学的起点。
ren_scythians|斯基泰游牧联盟|ren|-700|马背上的联盟没有城墙,靠弓箭和金饰划定势力范围。
pol_sparta_constitution|斯巴达军事寡头政制|pol|-650|把全体公民变成职业军人,自由被兑换成了纪律。
phi_charvaka|顺世论 · 感官即真理|phi|-600|不信来世不信业报,只信眼前能摸到的东西——印度最早的唯物主义。
pol_magadha_rise|摩揭陀国崛起|pol|-600|恒河边一个诸侯国,靠吞并邻居长成了孔雀王朝的底盘。
rel_jain|耆那教|rel|-527|连呼吸都怕伤到虫子——把不杀生做到极致的一套生存哲学。
pol_twelve_tables|罗马法典编纂 · 十二铜表法|pol|-450|把贵族口头特权刻上铜板,平民第一次能查到法律长什么样。
ren_celts|凯尔特人群认同|ren|-450|没有统一的国王,一种物件风格却能认出半个欧洲的自己人。
phi_mohism|墨家 · 兼爱非攻|phi|-430|爱不分亲疏远近,战争没有正义可言——墨子给儒家的等级秩序找了个对手。
pol_carthage_republic|迦太基寡头共和政制|pol|-400|没有国王的商业帝国:两名年选长官加元老院互相牵制。
phi_cynicism|犬儒学派 · 第欧根尼|phi|-350|住木桶、当众进食,用羞辱常规的方式问文明规矩哪条是天经地义。
phi_zhuangzi|庄子 · 齐物论|phi|-320|庄周梦蝶,分不清是人梦见了蝶还是蝶梦见了人——是非本无固定尺度。
phi_skepticism_pyrrho|皮浪怀疑论 · 悬置判断|phi|-320|对一切命题都不下判断,心才能真正安宁——怀疑本身也是一种解脱。
phi_epicureanism|伊壁鸠鲁学派 · 花园学派|phi|-306|快乐是善,但最大的快乐是没有恐惧——享乐主义被讲成了节制。
phi_mingjia|名家 · 白马非马|phi|-300|白马算不算马?公孙龙用一句诡辩,逼人认真区分概念与个别事物。
phi_mengzi|孟子 · 性善论|phi|-300|人性本善,恻隐之心人皆有之——道德的根据被安在了人心里。
phi_stoicism|斯多亚学派 · 芝诺|phi|-300|不是世界让人痛苦,是人对世界的判断让人痛苦。
ren_jomon_yayoi|绳文人与弥生人融合|ren|-300|渔猎万年的岛民,遇上带稻种来的移民,拼出了新族群。
pol_maurya_ashoka|阿育王 · 摩崖法敕|pol|-268|打完最血腥的一仗后,这位帝王把征服换成了刻在石头上的劝善令。
rel_theravada_srilanka|上座部立教 · 斯里兰卡|rel|-247|佛经先是被背下来的,直到岛国怕战乱失传才第一次落笔成书。
phi_xunzi|荀子 · 性恶论|phi|-240|人性本恶,善是礼法教化磨出来的——荀子替儒家补上了强制这一课。
phi_legalism|法家 · 韩非子|phi|-235|不靠贤君靠制度,不讲仁义讲赏罚——治国从道德问题变成了工程问题。
pol_qin_system|秦制 · 郡县与法家集权|pol|-221|废掉封国、统一度量衡与文字,秦把大一统焊进了两千年政治底盘。
ren_xiongnu|匈奴联盟|ren|-209|冒顿单于把分散部落拧成一股绳,草原第一次有了帝国的样子。
ren_han|汉人认同的形成|ren|-206|战国七雄打出一堆敌对身份,一个朝代的名字却把大家焊在了一起。
ren_germanic|日耳曼诸部形成|ren|-200|罗马人嫌他们太多太散,后来却是这群人埋葬了罗马。
pol_han_centralize|推恩令 · 汉代削藩|pol|-127|不用打仗削藩:让诸侯的儿子们分家产,封地自己就碎了。
phi_wangchong|王充 ·《论衡》疑古|phi|80|打雷不是天罚,异象不是警示——一本书系统地跟迷信过不去。
rel_rabbinic_judaism|拉比犹太教|rel|90|圣殿烧了,信仰没跟着烧——犹太教把宗教中心从祭坛搬进了书本。
rel_mithraism|密特拉密仪|rel|100|军团士兵在地下密室分食圣餐——罗马最流行的地下俱乐部式信仰。
rel_mahayana|大乘佛教兴起|rel|100|从自己解脱到人人都能成佛——一次把佛教受众从修行者扩大到全人类的改造。
rel_daoist_religion|五斗米道|rel|142|交五斗米入教,病由写忏悔书治——道家哲学第一次长出教团组织。
phi_nagarjuna|中观哲学 · 龙树|phi|150|万物没有独立不变的自性,连"空"本身也不能被执着当真理。
rel_gnosticism|诺斯底主义|rel|150|救赎不靠信,靠悟——一群人坚持神秘知识才是逃出物质牢笼的钥匙。
pol_teotihuacan_gov|特奥蒂瓦坎集体治理|pol|200|全城最大的建筑不是王宫,考古学家至今找不到这里的国王是谁。
rel_manichaeism|摩尼教|rel|240|把光明与黑暗写成一部通用剧本——一度差点成为半个欧亚大陆的国教。
phi_neoplatonism|新柏拉图主义 · 普罗提诺|phi|250|万物从"太一"流溢而出,像光从源头向外扩散,又终将逆流归一。
pol_maya_polity|玛雅城邦体系|pol|250|从没统一过的文明:几十个玛雅王城靠联姻和战争互相较劲。
rel_coptic_monastic|基督教隐修传统|rel|270|一个人跑进沙漠不为躲债,是为躲人群去见神——修道院制度从这里开张。
pol_gupta_admin|笈多帝国治理|pol|320|中央不管闲事,笈多靠地方自治撑起了黄金时代。
rel_nicaea|尼西亚公会议|rel|325|三百多名主教投票表决神的本质——教义第一次靠开会定案而不是靠权威宣布。
pol_axum_polity|阿克苏姆政教合一|pol|330|国王一声令下皈依,整个红海贸易国就换了国教。
rel_ethiopian_church|埃塞俄比亚正教会|rel|330|非洲最早的国教基督教,比欧洲大多数王国改宗还早了几百年。
ren_huns|匈人冲击与民族大迁徙|ren|370|谁也说不清匈人从哪来,罗马却因为躲他们而轰然倒塌。
ren_goths|哥特人分支认同|ren|376|逃难逃出两个国家,一支蛮族反倒把罗马的遗产接过手。
phi_augustine|奥古斯丁 ·《忏悔录》|phi|397|把一生的堕落与皈依写给上帝看——忏悔第一次成了一种哲学方法。
rel_pure_land|净土宗|rel|402|不用参透玄理,念一句佛号就能往生——把成佛的门槛降到人人可及。
rel_talmud_babylon|巴比伦塔木德|rel|500|把几百年的口头辩论攒成一部随身携带的国家——书就是犹太人的祖国。
phi_boethius|波爱修斯 · 哲学的慰藉|phi|524|被冤下狱等死之际,他跟"哲学女神"聊了一整本书的命运与自由。
pol_justinian_code|查士丁尼法典|pol|529|把六百年判例清理成一部法典,欧洲大陆法系的祖本就此定型。
pol_khmer_chenla|扶南真腊早期政体|pol|550|湄公河边的港口国,把印度的王权符号用成了自己的合法性招牌。
rel_nestorian_china|景教东传|rel|635|一群叙利亚僧侣走了几千公里,把十字架立在了长安城里。
pol_ritsuryo_japan|大化改新与律令制|pol|645|照抄唐朝的制度说明书,日本第一次有了统一的中央官僚国家。
rel_quran_codify|古兰经定本|rel|650|一位哈里发下令统一读法,烧掉其余版本——经文从此只剩一个官方声音。
pol_tang_code|唐律疏议|pol|653|一部法律注疏,让东亚此后千年的官府都用同一套逻辑判案。
pol_silla_unify|新罗统一朝鲜半岛|pol|676|借来的军队打完仗就翻脸赶走,新罗靠这招独吞了半岛。
rel_sunni_shia|逊尼什叶分野|rel|680|一场继承权之争打了一千三百多年——卡尔巴拉的血让分裂成了信仰本身。
ren_berbers|柏柏尔人身份存续|ren|700|腓尼基人、罗马人、阿拉伯人轮番统治,名字却一直是自己的。
rel_shinto_kojiki|神道成典|rel|712|把口耳相传的创世神话第一次写成官方历史——神道教从此有了国家版本。
rel_vajrayana_tibet|密宗入藏|rel|775|咒语、手印和灌顶仪式打包传入雪域——把成佛说成可以速成的一件事。
phi_mutazila|穆尔太齐赖 · 理性神学|phi|800|古兰经是被造的还是永恒的?一场教义辩论逼出了理性主义。
phi_adi_shankara|商羯罗 · 不二论吠檀多|phi|800|世界是幻,唯有梵是真——一套逻辑把奥义书的直觉讲成了体系。
pol_charlemagne_coronation|查理曼加冕|pol|800|一顶罗马皇冠戴在法兰克国王头上,西欧从此有了统一的执念。
rel_bhakti_tamil|巴克提运动|rel|800|用方言唱情歌一样的赞美诗打动神——虔诚第一次不需要梵语和祭司。
ren_sami|萨米人驯鹿认同|ren|800|国界画过驯鹿的牧场四次,萨米人的迁徙历法照样没变。
phi_al_kindi|阿尔·肯迪 · 阿拉伯逍遥学派|phi|850|被称作阿拉伯人的哲学家,他把希腊理性第一次系统译入伊斯兰世界。
rel_sufism|苏菲派|rel|900|跳着舞、转着圈去见真主——伊斯兰教里那条通向神秘体验的近道。
ren_tupi|图皮人群网络|ren|900|语言比国界更早统一了半个巴西海岸。
ren_uyghur|维吾尔人绿洲定居|ren|900|草原上的可汗国垮了,子民却在绿洲上活成了农耕城邦。
rel_ismaili_fatimid|伊斯玛仪与法蒂玛王朝|rel|909|什叶派的一个分支不甘只当反对派,直接开国称哈里发对打巴格达。
pol_chola_village|朱罗王朝村社自治|pol|920|石碑刻着选举细则,一千年前的南印度村庄已在抽签罢免委员。
rel_parsi_sanjan|帕西人|rel|936|逃难时只带了圣火——一小群人靠一炉火种把祆教活着带出了波斯。
ren_parsi|帕西人 · 祆教避难者|ren|936|带着圣火逃亡的难民,后来成了印度商界的顶梁柱。
phi_al_farabi|法拉比 · 政治哲学与德城|phi|950|被尊为仅次于亚里士多德的"第二导师"——他想为哲人王的城邦找一套逻辑。
rel_kievan_rus|罗斯受洗|rel|988|大公娶了拜占庭公主当彩礼——一整个民族的信仰就此改姓东正教。
rel_yoruba_ifa|约鲁巴宗教|rel|1000|扔几颗棕榈果就能问出神谕——一整套非洲占卜体系后来漂洋过海重生。
rel_druze|德鲁兹派|rel|1017|信徒相信自己灵魂会立刻转世投胎——一个封闭到几乎不再接纳新信徒的宗教。
ren_druze|德鲁兹人封闭共同体|ren|1017|教义一千年前就已封笔,信徒只能生不能选。
phi_ibn_sina|伊本·西那 · 存在与本质|phi|1020|想象一个悬空、感觉不到身体的人——他仍然知道自己存在。
rel_east_west_schism|东西教会大分裂|rel|1054|教皇特使把绝罚诏书拍在圣坛上——基督教从此分成了两个罗马。
rel_theravada_bagan|蒲甘弘法|rel|1056|一位国王抢来一整套三藏经典,只为让全国信同一种佛教。
phi_al_ghazali|安萨里 · 哲学家的矛盾|phi|1095|因果不过是习惯性的先后相续,神随时能让火不烧棉花。
ren_inuit_thule|因纽特人北极适应|ren|1100|捕鲸技术一路向东传,把北极圈住成一个文化区。
pol_iroquois_confederacy|易洛魁联盟宪制|pol|1142|五个互相仇杀的部落坐下来定规矩,口传宪法管了几百年。
phi_ibn_rushd|伊本·鲁世德 · 双重真理|phi|1180|写了一整本书反驳安萨里,书名就叫《不一致的不一致》。
pol_benin_kingdom|贝宁王国政治体制|pol|1180|国王的权力被一群世袭酋长悄悄分掉了大半。
phi_maimonides|迈蒙尼德 · 迷途指津|phi|1190|教信众怎样既信摩西也信亚里士多德——理性与启示不必二选一。
ren_rapanui|拉帕努伊人的孤岛文明|ren|1200|把森林刻成石像的岛民,最后连造船的木头都不剩。
ren_yazidi|雅兹迪人的坚守|ren|1200|教义揉合了拜火教与伊斯兰,邻居却只当他们是异端。
pol_delhi_sultanate|德里苏丹国|pol|1206|骑兵总督自立为王,北印度第一次有了长期的伊斯兰苏丹政权。
pol_magna_carta|大宪章|pol|1215|贵族逼国王签字画押,王权第一次被白纸黑字关进笼子。
phi_dogen|道元 · 身心脱落与有时|phi|1231|打坐不是成佛的手段,坐着本身就已经是佛——修行和目标被合而为一。
rel_inquisition|宗教裁判所|rel|1231|教会成立专职机构去审判“错误的信仰”——异端第一次有了标准审讯流程。
rel_chishti_dargah|契斯提圣墓文化|rel|1236|一座苏菲圣人的坟墓,让印度教徒和穆斯林排同一条队上香。
pol_ethiopia_solomonic|埃塞俄比亚所罗门王朝复辟|pol|1270|靠一个"我们是所罗门后代"的传说,新王朝把自己焊进了圣经谱系。
ren_hui|回族的形成|ren|1275|波斯商人留下的不只是货物,还有一整支新的族群。
pol_venice_republic|威尼斯共和国政制|pol|1297|一次"锁门"操作,把统治阶层永久焊死成了一份世袭名单。
pol_ottoman_rise|奥斯曼国家草创|pol|1299|边境上一小群突厥骑兵,两百年后长成横跨三洲的帝国。
ren_maori|毛利人定居新西兰|ren|1300|太平洋最后一块岛屿,被独木舟舰队按部落瓜分完毕。
pol_mali_governance|马里帝国行政与朝觐|pol|1324|一位国王去麦加撒金子,顺便把国家的存在感撒遍了地中海世界。
phi_ibn_khaldun|伊本·赫勒敦 · 历史绪论|phi|1377|王朝像人一样会老会死,撑着它的不是天命,是部落的凝聚力。
pol_hongwu_lijia|明初里甲与户籍控制|pol|1381|十户编一甲,邻里互相盯梢,朝廷不用派人就能管住乡村。
pol_joseon_founding|朝鲜王朝建立|pol|1392|一场兵变换了国号,却把儒家官僚制焊得比前朝更紧。
rel_mesoamerican|阿兹特克宗教|rel|1428|太阳每天升起都欠着一笔血债——一个文明靠活人献祭为宇宙续命。
ren_ryukyu|琉球人身份|ren|1429|夹在两个大国中间的岛国,靠两头朝贡换来两百年独立。
pol_inca_admin|印加帝国行政体系|pol|1438|没有文字也能管一个帝国:绳结记账,道路才是真正的宪法。
rel_andean_religion|印加太阳信仰|rel|1438|皇帝本人就是太阳的儿子——把统治合法性直接焊死在神谱最顶端。
rel_wali_songo|爪哇伊斯兰化|rel|1450|传说中的九位圣人,把伊斯兰教包装成本地皮影戏演给爪哇人看。
ren_peranakan|土生华人峇峇娘惹|ren|1450|早期华商入乡随俗娶了马来妻子,三代后活成了另一个族群。
pol_ottoman_millet|奥斯曼米利特制|pol|1454|不强迫改信,只让每个信仰群体自己管自己的家务事。
pol_songhai_empire|桑海帝国官僚与教法|pol|1493|军人皇帝上台第一件事,是把行政权交给了法官和学者。
rel_sikh_nanak|锡克教创立|rel|1499|河边失踪三天回来后说了一句“既非印度教徒也非穆斯林”——一个新信仰的开场白。
ren_pashtun|普什图部落认同|ren|1500|没有中央政府管得住,一部不成文的荣誉法典却能。
ren_hazara|哈扎拉人|ren|1500|面容里藏着草原的痕迹,却在兴都库什山里扎根成什叶飞地。
ren_cossacks|哥萨克人|ren|1500|逃亡农奴凑成的边民,后来成了帝国最锋利的一把刀。
pol_encomienda_spanish|西属美洲监督劳役制|pol|1503|名义上是保护,实际是把原住民连人带地一并分给了殖民者。
phi_wangyangming|阳明心学 · 知行合一|phi|1509|知而不行,只是未知——贬谪的绝境里想通了良知不必外求。
rel_bali_hindu|巴厘印度教|rel|1520|整座岛屿成了一艘诺亚方舟——爪哇满者伯夷灭亡时,印度教文明整体搬到了这里。
rel_anglican_schism|英国国教会|rel|1534|教皇不批离婚,国王干脆自己当教皇——一场婚姻纠纷分裂出一整个教会。
rel_jesuit_order|耶稣会|rel|1540|不建修道院,直接派人进宫廷和课堂——一支专为对抗宗教改革设计的特种部队。
ren_mapuche|马普切人抗征服认同|ren|1550|唯一挡住了印加又挡住西班牙三百年的南美人群。
pol_akbar_tolerance|莫卧儿 · 阿克巴的宽容治理|pol|1556|皇帝取消对异教徒征税,换来的是几代人的帝国稳定。
rel_kabbalah_safed|萨费德卡巴拉|rel|1570|把犹太人被逐出西班牙的苦难,解释成宇宙本身破碎待修——神秘主义安慰了一整代难民。
pol_dutch_republic|荷兰联省共和国宪制|pol|1581|七个省联名宣布国王下岗,共和制第一次在欧洲扎下根。
rel_huguenot_edict|南特敕令|rel|1598|打了三十多年内战才想明白——同一个国家其实可以装下两种信仰。
ren_mestizo|梅斯蒂索混血身份|ren|1600|殖民者发明的血统等级表,意外定义了整个拉美的自我认知。
pol_tokugawa_bakuhan|德川幕府藩体制|pol|1603|将军闭上国门,却打开了两百多年不打仗的太平日子。
